"person_id","sex","screening_date","p_current_age","p_age_first_offense","p_charge","p_jail30","p_prison","p_probation","p_juv_fel_count","p_felprop_violarrest","p_murder_arrest","p_felassault_arrest","p_misdemassault_arrest","p_famviol_arrest","p_sex_arrest","p_weapons_arrest","fail_appear_two_yr","fail_appear_two_plus","current_violent","current_violent20","pending_charge","prior_conviction_F","prior_conviction_M","violent_conviction","total_convictions","p_arrest","p_property","p_traffic","p_drug","p_dui","p_domestic","p_stalking","p_voyeurism","p_fraud","p_stealing","p_trespass","one_year","three_year","five_year","recid_use"
497,1,2013-04-04,20,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
1655,0,2013-01-22,20,17,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
4761,0,2013-04-12,27,23,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3,11,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
306,0,2013-04-18,23,22,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,12,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
4805,0,2013-10-27,32,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
5974,0,2013-08-09,19,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
4381,0,2013-07-22,53,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
1565,0,2013-10-29,33,24,24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,2,16,0,18,55,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
6296,0,2013-08-25,28,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
4530,0,2013-11-27,23,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
3642,0,2014-02-07,38,34,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
6046,0,2013-02-01,46,27,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,3,12,3,15,33,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
3291,0,2014-02-13,35,30,13,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,18,6,4,10,10,30,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
5812,0,2013-10-16,47,42,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,4,9,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
3354,0,2013-09-06,26,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,1,0,0,0,0,0,0,0,1,1,"0"
2454,0,2013-06-14,29,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
2901,0,2013-03-23,23,23,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
3248,0,2014-03-26,68,55,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,2,12,22,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
2361,1,2013-08-11,46,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
5518,0,2013-08-26,28,24,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
5495,0,2013-05-30,57,31,19,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,25,10,8,3,18,29,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
5839,0,2013-02-12,32,25,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,5,0,5,16,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
3714,0,2013-04-05,50,34,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
382,1,2014-03-12,21,16,11,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,7,3,7,1,11,25,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
5436,1,2013-05-02,51,48,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,8,0,0,0,1,0,0,0,0,0,0,1,1,1,"0"
874,0,2013-03-06,23,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
2376,0,2013-08-13,23,17,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,7,1,7,34,0,0,0,1,0,0,0,0,0,0,0,1,1,"1"
3779,0,2014-03-19,25,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
6251,0,2013-10-05,30,21,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,3,13,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
3975,0,2013-12-21,25,20,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,1,1,"1"
6171,1,2013-06-21,42,42,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
5738,0,2013-09-09,49,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
546,0,2013-04-22,33,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1948,0,2013-02-05,50,40,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
1915,0,2013-04-19,32,31,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,3,8,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
990,1,2014-01-09,43,40,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
5857,0,2014-01-11,22,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
970,0,2014-03-18,36,30,3,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,10,3,6,8,9,30,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
4045,1,2013-04-26,42,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
484,0,2013-02-22,24,23,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
2263,0,2013-04-26,25,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,3,11,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
3924,1,2013-01-03,33,19,92,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,4,9,1,13,46,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
6392,0,2013-03-05,47,43,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,5,7,7,29,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
4388,0,2013-03-27,23,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
1157,0,2013-11-05,25,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,11,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
5833,0,2013-01-11,44,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
3280,1,2013-11-09,24,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,21,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
3832,0,2013-12-26,37,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
3255,0,2013-10-01,48,32,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
4914,0,2013-08-22,20,16,4,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,5,0,8,0,8,3,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
5660,0,2013-02-19,34,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
5719,0,2014-01-28,18,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
5987,0,2013-02-05,30,25,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,1,6,23,0,0,0,1,0,0,0,0,0,0,1,1,1,"1"
3480,0,2013-01-03,50,49,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
4134,0,2013-03-17,48,39,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,3,6,3,9,6,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
2792,0,2013-09-05,28,21,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
2231,0,2013-01-31,21,15,12,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,5,0,10,0,10,8,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
598,0,2013-02-13,25,25,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
3453,0,2013-08-13,42,25,13,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,6,31,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
2329,0,2013-09-22,23,16,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16,3,6,1,9,21,0,0,0,0,0,0,0,0,0,0,0,1,1,"0"
4636,1,2014-01-03,18,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
4996,0,2013-11-12,24,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
729,0,2013-02-25,56,53,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"1"
3268,0,2013-03-25,21,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,1,1,"1"
3154,0,2013-09-14,31,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
1482,1,2013-12-16,21,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,1,5,14,0,0,0,0,0,0,0,0,0,0,1,1,1,"0"
2234,0,2013-09-23,54,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
1938,1,2013-04-09,41,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
597,0,2013-04-16,24,18,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,6,2,9,47,0,0,0,2,0,0,0,0,0,0,0,0,1,"0"
