"person_id","screening_date","sex","race","p_current_age","p_age_first_offense","p_charge","p_jail30","p_prison","p_probation","p_juv_fel_count","p_felprop_violarrest","p_murder_arrest","p_felassault_arrest","p_misdemassault_arrest","p_famviol_arrest","p_sex_arrest","p_weapons_arrest","fail_appear_two_yr","fail_appear_two_plus","current_violent","current_violent20","pending_charge","prior_conviction_F","prior_conviction_M","violent_conviction","total_convictions","p_arrest","p_property","p_traffic","p_drug","p_dui","p_domestic","p_stalking","p_voyeurism","p_fraud","p_stealing","p_trespass","years_since_last_crime","six_month","one_year","three_year","five_year","recid_two_year","recid_six_month","recid_drug2","recid_property2","recid_M2","recid_F2","recid_violent2","recid_drug6","recid_property6","recid_M6","recid_F6","recid_violent6"
1048,2013-10-09,1,"African-American",42,20,34,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,24,8,14,2,22,37,2,0,11,3,0,0,0,0,2,0,0.435831622176591,1,1,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
1049,2013-05-03,1,"Caucasian",50,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,7,1,0,2,0,0,0,0,0,1,0,5.44130732375086,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1051,2013-03-18,1,"African-American",30,20,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0.379876796714579,1,1,1,1,"1","1","0","0","1","0","0","0","0","1","0","0"
1059,2013-09-21,1,"African-American",21,20,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1.76095140314853,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1060,2013-12-19,1,"African-American",42,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0.252737850787132,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1066,2013-02-12,1,"Caucasian",37,35,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,2,1,0,0,0,0,0,0,1.76368925393566,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
107,2013-01-07,1,"African-American",26,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,4,0,0,1,0,0,0,0,0,0,0,0.760951403148528,0,1,1,1,"1","0","0","0","1","0","1","0","0","0","0","0"
1074,2014-03-15,1,"African-American",19,19,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0.610711841204654,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1079,2013-07-09,1,"African-American",34,25,5,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,3,0,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0.0793976728268309,1,1,1,1,"1","1","0","0","1","0","1","0","0","1","0","1"
1082,2013-09-29,1,"African-American",47,26,39,1,3,1,0,0,0,3,1,0,0,3,0,0,0,0,24,15,8,4,23,72,0,2,10,0,0,0,0,0,0,0,0.618925393566051,0,1,1,1,"1","0","0","0","0","1","0","0","0","0","0","0"
1086,2014-02-28,1,"African-American",20,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0.0997604380561259,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1091,2013-02-12,1,"Other",20,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,9,0,0,1,0,0,0,0,0,0,0,2.02737850787132,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1092,2013-08-08,1,"Hispanic",21,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,2,1,2.08333333333333,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1101,2014-02-03,0,"Hispanic",35,33,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1.49332648870637,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1102,2013-03-27,1,"African-American",26,18,20,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,10,4,6,0,10,26,6,0,4,0,0,0,0,0,5,4,1.03832991101985,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1107,2013-04-26,1,"Caucasian",19,15,11,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,2,0,4,2,0,7,0,0,0,0,0,0,0,7,2,0.0191649555099247,1,1,1,1,"1","0","0","1","1","0","0","0","0","0","0","0"
1110,2013-01-05,0,"African-American",32,22,6,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,4,8,0,0,4,0,0,0,0,0,0,0,0.427618069815195,1,1,1,1,"1","0","1","0","0","1","0","0","0","0","0","0"
1111,2013-04-01,1,"African-American",45,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,7,2,0,0,0,0,0,0,0,2,0,15.6517796030116,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1123,2013-09-09,1,"African-American",47,19,30,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,20,7,6,4,13,31,2,0,14,0,0,0,0,0,2,1,15.4248802190281,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1129,2013-11-13,1,"Other",33,33,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0.0054757015742642,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1131,2013-02-14,1,"African-American",18,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,5,0,0,4,0,0,0,0,0,0,0,0.0054757015742642,1,1,1,1,"1","1","0","0","1","0","0","0","0","1","0","0"
1134,2014-03-12,0,"African-American",23,18,7,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,3,4,0,1,4,15,6,0,0,0,0,0,0,0,6,4,2.82392197125257,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1139,2013-11-12,1,"African-American",25,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,2,0,0,0,0,0,0,0,1,2,0.166666666666667,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1140,2013-05-17,1,"African-American",68,46,15,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,4,5,1,9,23,1,1,0,0,0,0,0,0,1,0,1.4194045174538,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1144,2013-08-13,0,"African-American",27,24,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,13,0,0,4,0,0,0,0,0,0,0,1.72689938398357,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1147,2013-01-05,1,"African-American",19,19,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0492813141683778,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1150,2013-10-09,0,"African-American",44,20,38,2,10,4,0,5,0,0,0,0,0,3,0,0,0,0,9,15,14,5,29,41,8,0,24,0,0,0,0,0,6,3,1.40177960301164,0,0,1,1,"1","0","1","0","0","1","0","0","0","0","0","0"
1157,2013-11-05,1,"Native American",25,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,11,0,0,3,2,0,0,1,0,0,0,6.70499657768652,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1159,2013-09-23,0,"African-American",50,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.0109514031485284,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1161,2014-03-02,1,"African-American",53,23,35,1,10,2,0,1,0,1,0,0,0,0,0,0,0,0,17,17,10,2,28,49,3,1,19,0,0,0,0,0,2,2,1.13535249828884,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1163,2013-01-04,1,"African-American",22,18,10,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,6,3,1,3,4,14,8,0,0,0,0,0,0,0,7,4,2.19952087611225,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1165,2013-08-04,1,"Other",21,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,5,0,0,2,1,0,0,0,0,0,0,1.25273785078713,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1166,2014-03-11,1,"African-American",25,20,9,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,5,4,1,0,5,17,0,0,6,0,0,0,0,0,0,0,1.02737850787132,0,0,1,1,"1","0","0","1","0","1","1","0","0","0","0","0"
1173,2013-11-27,1,"African-American",39,18,15,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,7,3,5,1,8,20,1,0,6,1,0,0,0,0,1,0,0.174880219028063,1,1,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
1177,2014-02-24,1,"Caucasian",44,37,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,6,0,0,0,0,0,0,7.40999315537303,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1186,2013-08-13,1,"Caucasian",22,18,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,3.5,0,0,0,1,"1","1","0","1","1","0","1","0","1","1","0","1"
1192,2013-10-11,1,"African-American",54,25,25,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,0,20,28,4,0,18,0,0,0,0,0,1,4,5.68856947296372,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1198,2013-05-10,1,"Caucasian",28,25,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,0,0,0,5,0,0,0,0,0,0,2.12987679671458,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1208,2013-05-23,1,"Caucasian",45,38,7,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2,0,6,2,6,5,1,0,0,0,0,0,0,0,1,0,1.21868583162218,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1212,2013-08-12,0,"African-American",22,18,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,1,0,3.52190280629706,0,0,0,1,"1","0","0","0","1","0","1","0","0","0","0","0"
1213,2014-01-13,0,"African-American",34,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,4.09976043805613,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1214,2013-10-13,1,"African-American",24,19,11,0,0,2,0,1,0,1,1,0,0,0,1,0,1,0,5,1,2,1,3,15,2,0,2,0,0,0,0,0,2,1,0.924880219028063,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1216,2013-10-15,1,"Caucasian",25,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,0,0,3,0,0,0,0,0,0,0,1.86071184120465,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1217,2013-01-11,1,"African-American",33,31,9,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,7,0,7,11,0,0,1,0,0,0,0,0,0,0,0.568446269678303,0,1,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
122,2013-02-21,1,"African-American",26,19,16,0,1,0,0,2,0,2,2,0,0,0,0,0,0,0,6,2,3,6,5,26,2,0,7,0,0,0,0,0,2,0,0.649041752224504,0,1,1,1,"1","1","0","0","0","1","0","0","0","0","1","0"
122,2013-04-18,1,"African-American",27,19,18,0,1,0,0,2,0,2,2,0,0,0,0,0,0,0,11,2,5,6,7,28,2,0,8,0,0,0,0,0,2,0,0.162731006160164,1,1,1,1,"1","0","0","0","0","1","1","0","0","0","0","0"
1221,2013-12-20,1,"Other",27,20,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,13,0,0,2,2,0,0,0,0,0,0,4.31570841889117,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1229,2014-02-11,1,"African-American",33,25,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,0,8,20,0,0,7,1,0,0,0,0,0,0,1.14630390143737,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1233,2013-08-20,1,"Caucasian",24,18,14,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,11,0,5,0,5,19,1,0,1,1,0,0,0,0,1,0,0.583333333333333,0,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1235,2013-03-20,1,"African-American",25,18,36,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,25,2,14,4,16,42,5,0,5,1,0,0,0,0,3,1,0.573921971252567,0,1,1,1,"1","0","1","0","0","1","1","0","0","0","0","0"
1244,2014-03-24,1,"Caucasian",45,40,8,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,4,0,2,0,2,7,0,0,0,4,0,0,0,0,0,0,5.10249828884326,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1246,2014-02-23,1,"African-American",23,18,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,1,1,2,2,6,3,0,1,0,0,0,0,0,3,1,1.8266598220397,0,0,1,1,"1","0","0","1","0","1","1","0","0","0","0","0"
1248,2013-09-04,1,"Caucasian",37,18,6,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,3,1,4,0,0,0,0,0,0,0,0,0,0,2.5684462696783,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1250,2013-09-09,1,"African-American",33,18,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,3,11,1,14,55,1,0,9,2,0,0,0,0,1,0,2.26368925393566,0,0,1,1,"1","0","1","0","0","1","0","0","0","0","0","0"
1254,2013-01-29,1,"African-American",40,17,30,0,0,1,2,5,0,0,0,0,0,1,0,0,0,0,25,5,13,5,18,36,5,0,6,0,0,0,0,0,5,0,1.33213552361396,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1255,2013-08-15,1,"African-American",22,16,16,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,12,0,0,2,0,0,0,0,0,0,0,2.21868583162218,0,0,1,1,"1","0","0","0","0","1","1","0","0","0","0","0"
1256,2014-03-19,1,"African-American",46,16,36,3,5,3,1,4,0,5,4,0,0,1,2,0,1,0,14,8,10,12,19,62,5,4,8,1,0,0,0,0,4,1,0.366187542778919,1,1,1,1,"1","1","0","0","0","1","1","0","0","0","1","1"
1257,2013-01-01,1,"African-American",19,19,3,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,3,2,0,0,0,0,0,0,0,2,0,0.0739219712525667,1,1,1,1,"1","1","0","0","0","1","1","0","0","0","1","1"
1257,2013-01-30,1,"African-American",19,19,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,6,2,0,0,0,0,0,0,0,2,0,0.082135523613963,1,1,1,1,"1","1","1","0","0","1","1","1","0","0","1","1"
1264,2014-02-09,1,"African-American",60,24,52,1,10,3,0,9,0,3,0,0,0,1,0,0,1,0,34,17,17,17,34,61,24,0,11,2,0,0,0,0,21,9,0.430355920602327,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1268,2013-03-31,1,"African-American",25,19,7,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,3,10,0,0,3,0,0,0,0,0,0,0,6.0082135523614,0,0,0,0,"1","1","1","0","0","1","1","1","0","0","1","1"
1274,2013-05-06,1,"Other",40,34,9,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,1.24332648870637,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1280,2014-01-29,1,"Caucasian",24,18,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,3,11,1,0,2,0,0,0,0,0,1,1,0.979637234770705,0,1,1,1,"1","0","0","0","1","0","1","0","0","0","0","0"
1286,2013-04-06,1,"Caucasian",21,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1.36344969199179,0,0,1,1,"1","1","0","0","0","1","0","0","0","0","1","0"
1290,2013-04-06,1,"African-American",23,17,9,0,0,2,0,1,0,1,3,0,0,0,0,0,1,0,4,2,4,4,6,11,2,0,0,0,0,0,0,0,2,1,2.58333333333333,0,0,1,1,"1","1","0","0","1","0","1","0","0","1","0","1"
1290,2013-05-27,1,"African-American",23,17,14,0,0,2,0,1,0,1,3,0,0,0,0,0,0,0,4,2,4,5,6,16,2,0,0,0,0,0,0,0,2,1,0.14356605065024,1,1,1,1,"1","1","0","0","1","0","1","0","0","1","0","1"
1290,2013-09-30,1,"African-American",24,17,15,0,0,2,0,1,0,1,4,0,0,0,0,0,1,0,9,2,5,5,7,17,2,0,0,0,0,0,0,0,2,1,0.344284736481862,1,1,1,1,"1","1","0","0","1","0","0","0","0","1","0","0"
1292,2013-05-28,1,"Caucasian",45,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,3,0,0,0,0,0,0,0,1.64356605065024,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1293,2014-03-29,1,"African-American",22,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,6,0,0,0,0,0,0,0,1.20773442847365,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1297,2013-02-25,0,"Hispanic",27,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,3.38261464750171,0,0,0,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1298,2013-05-09,1,"African-American",21,17,10,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,8,0,4,2,4,12,0,0,2,2,0,0,0,0,0,0,1.79380561259411,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1305,2013-02-13,1,"African-American",33,18,18,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,2,7,4,1,11,23,1,0,11,0,0,0,0,0,0,1,1.08333333333333,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1306,2013-01-30,1,"African-American",27,20,15,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,13,4,5,3,9,20,1,0,9,0,0,0,0,0,1,0,0.21047227926078,1,1,1,1,"1","1","0","0","0","1","1","0","0","0","1","1"
131,2014-01-16,1,"African-American",19,17,7,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,7,4,0,1,0,0,0,0,0,4,2,0.666666666666667,0,1,1,1,"1","1","0","0","1","0","1","0","0","1","0","0"
1313,2013-04-18,1,"African-American",22,21,7,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0.194045174537988,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1314,2013-05-06,1,"African-American",28,16,43,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,28,5,15,1,20,53,1,3,13,2,0,0,0,0,1,0,1.77464065708419,0,0,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
1318,2013-09-25,1,"African-American",37,18,30,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,13,4,17,1,21,49,1,0,11,3,0,0,0,0,1,1,2.64356605065024,0,0,1,1,"1","0","0","0","0","1","1","0","0","0","0","0"
1321,2013-01-02,1,"African-American",45,21,15,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,5,1,4,1,5,19,1,1,1,0,0,0,0,0,1,0,2.80475701574264,0,0,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
1323,2013-03-06,0,"African-American",27,20,12,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,5,1,4,6,2,8,0,0,0,0,0,0,0,7,2,0.0383299110198494,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1326,2013-01-31,1,"African-American",20,17,6,0,0,0,2,2,0,1,0,0,0,0,0,0,1,1,2,2,0,2,2,10,4,0,0,0,0,0,0,0,4,2,0.416666666666667,1,1,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1328,2013-09-09,0,"African-American",24,21,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2.69952087611225,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1329,2013-08-28,1,"Caucasian",19,17,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,1,1,0,2,6,1,0,5,0,0,0,0,0,1,0,0.0136892539356605,1,1,1,1,"1","0","0","0","1","0","1","0","0","0","0","0"
1330,2013-01-27,1,"Caucasian",39,25,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,11,0,0,4,0,0,0,0,0,0,0,6.86344969199179,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1331,2013-04-23,1,"African-American",20,13,15,1,1,1,0,0,0,0,0,0,0,0,4,0,1,1,8,1,3,1,4,23,3,0,4,0,0,0,0,0,2,1,1.68035592060233,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1343,2014-02-23,1,"Hispanic",22,18,10,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,4,0,2,0,2,11,5,0,4,0,0,0,0,0,5,2,0.329397672826831,1,1,1,1,"1","0","1","0","1","0","0","0","0","0","0","0"
1344,2014-01-29,1,"African-American",49,25,8,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,7,4,0,4,4,15,5,0,0,0,0,0,0,0,5,0,22.4154688569473,0,0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0"
1358,2013-02-17,1,"African-American",25,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,4,2,0,0,0,0,0,0,0,0,2,0.10523613963039,1,1,1,1,"1","1","0","1","0","1","0","0","1","0","1","0"
1360,2013-11-19,1,"African-American",30,27,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,2,1,0,0,0,0,0,0,0,1,1,2.66666666666667,0,0,1,1,"1","0","0","0","1","0","1","0","0","0","0","0"
1369,2014-01-30,0,"Caucasian",26,23,5,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,3,1,1,1,2,5,3,0,0,0,0,0,0,0,3,2,2.45225872689938,0,0,1,1,"0","0","0","0","0","0","0","0","0","0","0","0"
1377,2013-02-03,1,"African-American",36,18,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,1,11,20,0,0,7,0,0,0,0,0,0,0,0.521902806297057,0,1,1,1,"1","1","1","0","0","1","0","1","0","0","1","0"
1379,2013-12-07,1,"African-American",19,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0.0383299110198494,1,1,1,1,"1","1","0","1","1","0","0","0","1","1","0","0"
138,2013-01-12,1,"Caucasian",23,20,16,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,8,0,6,1,6,14,4,0,2,0,0,0,0,0,3,2,0.4072553045859,1,1,1,1,"1","0","0","0","1","0","0","0","0","0","0","0"
1380,2013-04-24,1,"African-American",43,26,8,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,1,4,1,6,4,0,0,0,0,0,0,0,4,0,0.255475701574264,1,1,1,1,"1","0","0","1","1","0","1","0","0","0","0","0"
1388,2013-02-22,0,"Caucasian",54,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,21.2433264887064,0,0,0,0,"1","0","0","0","1","0","0","0","0","0","0","0"
